70,21.69616,39.145084,1541032248,20.7,252,32980966
26,21.674662,39.146584,1541032246,20.7,340,33984736
67,21.69578,39.1442,1541032248,22.8,249,41149844
14,21.673056,39.1517,1541032248,31.5,160,37554500
43,21.680244,39.149352,1541032248,19.5,337,26883986
58,21.674844,39.151412,1541032248,23.8,339,44370808
56,21.672986,39.148588,1541032247,23.4,249,42953620
54,21.672464,39.174124,1541032249,23.1,159,50584296
34,21.670858,39.14896,1541032251,17.5,78,42118316
6,21.69532,39.142952,1541032249,29.4,249,15830116
49,21.67223,39.147388,1541032250,28.7,159,31063326
27,21.670988,39.149348,1541032250,8.3,60,36351952
32,21.679256,39.149768,1541032251,8.2,14,41711364
26,21.674882,39.146504,1541032251,17.5,344,33984756
43,21.680492,39.149252,1541032253,22.7,337,26884016
67,21.695682,39.143888,1541032253,23.8,249,41149884
56,21.672884,39.148292,1541032252,23.4,249,42953660
54,21.672204,39.174232,1541032254,22.4,160,50584332
58,21.675146,39.151304,1541032253,25.9,340,44370848
6,21.695186,39.142576,1541032254,30.1,249,15830158
14,21.67269,39.151852,1541032253,31.6,158,37554540
3,0.0,0.0,947834929,0.0,0,3591864
70,21.696066,39.144812,1541032253,22.2,250,32980996
49,21.671892,39.147524,1541032255,29.4,159,31063366
32,21.679374,39.149712,1541032255,8.7,325,41711384
26,21.675008,39.146476,1541032254,16.2,353,33984768
27,21.671038,39.149428,1541032256,6.9,246,36351968
34,21.670916,39.149164,1541032256,14.6,70,42118336
9,21.66574,39.143832,1541032256,0.0,0,21362656
56,21.672782,39.147996,1541032257,23.4,250,42953700
58,21.675452,39.151184,1541032258,25.2,339,44370888
67,21.695582,39.143576,1541032258,24.5,250,41149924
43,21.680758,39.149128,1541032258,22.3,337,26884046
21,21.666544,39.144884,1541032259,0.0,162,36004676
70,21.695956,39.144524,1541032258,23.7,249,32981026
65,21.66561,39.143868,1541032258,0.0,0,7364356
49,21.671546,39.147668,1541032260,29.3,159,31063406
6,21.69506,39.142196,1541032259,29.9,250,15830199
14,21.67233,39.152,1541032258,29.7,159,37554580
54,21.671944,39.174328,1541032259,21.5,159,50584368
32,21.679484,39.149644,1541032260,13.7,330,41711400
27,21.671028,39.149528,1541032260,9.9,122,36351980
26,21.675214,39.146432,1541032261,5.7,335,33984796
67,21.69547,39.14326,1541032263,25.5,249,41149964
43,21.680994,39.149024,1541032263,18.0,337,26884076
34,21.670956,39.149268,1541032261,0.0,68,42118352
56,21.672686,39.1477,1541032262,22.8,250,42953740
58,21.67576,39.151064,1541032263,26.9,341,44370928
70,21.69584,39.14422,1541032263,24.7,249,32981056
12,21.665718,39.157424,1541032262,5.6,62,33827112
49,21.671208,39.147804,1541032265,27.9,160,31063446
